test agent/agent_id_new ... bench:          48 ns/iter (+/- 0)

test telemetry/trace_context_new ... bench:          92 ns/iter (+/- 1)

test telemetry/trace_context_child ... bench:          48 ns/iter (+/- 0)

test security/sandbox_config_default ... bench:          26 ns/iter (+/- 0)

test agent/agent_id_new ... bench:          47 ns/iter (+/- 9)

test telemetry/trace_context_new ... bench:          94 ns/iter (+/- 14)

test telemetry/trace_context_child ... bench:          52 ns/iter (+/- 9)

test security/sandbox_config_default ... bench:          27 ns/iter (+/- 8)

test agent/agent_id_new ... bench:          48 ns/iter (+/- 1)

test telemetry/trace_context_new ... bench:          94 ns/iter (+/- 4)

test telemetry/trace_context_child ... bench:          52 ns/iter (+/- 1)

test security/sandbox_config_default ... bench:          27 ns/iter (+/- 1)

test serde/trace_context_serialize ... bench:         168 ns/iter (+/- 4)

test serde/trace_context_deserialize ... bench:         325 ns/iter (+/- 3)

test serde/sandbox_config_serialize ... bench:         262 ns/iter (+/- 75)

test serde/sandbox_config_deserialize ... bench:         331 ns/iter (+/- 141)

test serde/agent_id_serialize ... bench:          33 ns/iter (+/- 13)

test serde/agent_id_deserialize ... bench:          59 ns/iter (+/- 13)

test agent/agent_id_new ... bench:          48 ns/iter (+/- 0)

test telemetry/trace_context_new ... bench:          93 ns/iter (+/- 3)

test telemetry/trace_context_child ... bench:          52 ns/iter (+/- 0)

test security/sandbox_config_default ... bench:          27 ns/iter (+/- 0)

test serde/trace_context_serialize ... bench:         167 ns/iter (+/- 3)

test serde/trace_context_deserialize ... bench:         315 ns/iter (+/- 4)

test serde/sandbox_config_serialize ... bench:         225 ns/iter (+/- 8)

test serde/sandbox_config_deserialize ... bench:         317 ns/iter (+/- 7)

test serde/agent_id_serialize ... bench:          33 ns/iter (+/- 0)

test serde/agent_id_deserialize ... bench:          59 ns/iter (+/- 0)

